,F
1546,1
1547,1
1548,6
1549,1
1550,2
1551,1
1552,1
1553,1
1554,3
1555,1
1556,2
1557,1
1558,1
1559,1
1560,17
1561,2
1562,1
1563,7
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,2
1576,3
1577,2
1578,1
1579,1
1580,1
1581,3
1582,2
1583,1
1584,1
1585,1
1586,1
1587,1
1588,2
1589,1
1590,3
1591,1
1592,1
1593,1
1594,3
1595,2
1596,1
1597,1
1598,1
1599,1
1600,1
1601,2
1602,1
1603,1
1604,3
1605,1
1606,1
1607,1
1608,1
1609,1
1610,5
1611,4
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,3
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,2
1632,1
1633,1
1634,5
1635,2
1636,1
1637,1
1638,3
1639,2
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,2
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,2
1656,2
1657,1
1658,2
1659,2
1660,1
1661,1
1662,2
1663,1
1664,1
1665,9
1666,1
1667,1
1668,2
1669,2
1670,1
1671,1
1672,1
1673,4
1674,1
1675,1
1676,1
1677,1
1678,1
1679,2
1680,1
1681,1
1682,2
1683,1
1684,2
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,2
1696,1
1697,1
1698,1
1699,1
1700,6
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,2
1709,1
1710,1
1711,1
1712,3
1713,1
1714,1
1715,1
1716,1
1717,3
1718,1
1719,1
1720,1
1721,1
1722,2
1723,1
1724,1
1725,1
1726,2
1727,2
1728,1
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,2
1736,2
1737,1
1738,3
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,2
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,2
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,2
1773,1
1774,1
1775,1
1776,1
1777,1
1778,3
1779,1
1780,1
1781,2
1782,1
1783,1
1784,1
1785,3
1786,1
1787,1
1788,1
1789,2
1790,6
1791,2
1792,1
1793,6
1794,6
1795,3
1796,1
1797,4
1798,1
1799,4
1800,1
1801,1
1802,3
1803,1
1804,2
1805,8
1806,2
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,2
1817,2
1818,3
1819,1
1820,3
1821,1
1822,1
1823,1
1824,1
1825,2
1826,2
1827,1
1828,2
1829,1
1830,1
1831,2
1832,1
1833,1
1834,1
1835,1
1836,3
1837,2
1838,1
1839,2
1840,5
1841,1
1842,1
1843,9
1844,1
1845,1
1846,1
1847,2
1848,1
1849,2
1850,1
1851,1
1852,1
1853,3
1854,1
1855,2
1856,1
1857,1
1858,1
1859,5
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,1
1868,1
1869,1
1870,1
1871,2
1872,2
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,2
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,3
1887,2
1888,1
1889,1
1890,1
1891,2
1892,1
1893,1
1894,2
1895,1
1896,1
1897,1
1898,2
1899,2
1900,2
1901,1
1902,1
1903,1
1904,2
1905,1
1906,1
1907,1
1908,1
1909,1
1910,2
1911,1
1912,1
1913,2
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,2
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,3
1932,1
1933,3
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,2
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,4
1956,1
1957,1
1958,1
1959,1
1960,2
1961,1
1962,1
1963,1
1964,2
1965,1
1966,1
1967,6
1968,1
1969,1
1970,2
1971,2
1972,1
1973,1
1974,1
1975,1
1976,4
1977,2
1978,1
1979,1
1980,6
1981,1
1982,1
1983,1
1984,2
1985,1
1986,3
1987,1
1988,1
1989,1
1990,1
1991,2
1992,1
1993,1
1994,2
1995,1
