,SPEED,DATE,DISTANCE,AMOUNT,TIMESLICE,TIME,ID,UUID
493,38.74,20210620,13817.52,111,1,1283.86,86117,C56CB05D36F22C6FE05307098F0AE1DA
494,62.19,20210620,8656.97,59,1,501.09,86118,C56CB05D99382C6FE05307098F0AE1DA
495,40.99,20210620,10434.54,78,1,916.37,86119,C56CB05D36D52C6FE05307098F0AE1DA
496,32.19,20210620,16567.75,162,1,1852.65,86120,C56CB05D67C12C6FE05307098F0AE1DA
497,56.23,20210620,48448.02,296,1,3101.65,86121,C56CB05D116B2C6FE05307098F0AE1DA
498,55.95,20210620,75506.49,591,1,4858.07,86201,C56CB05D11E42C6FE05307098F0AE1DA
499,33.82,20210620,33281.56,235,1,3542.93,86202,C56CB05DA09B2C6FE05307098F0AE1DA
500,41.67,20210620,25557.43,143,1,2207.96,86203,C56CB05D057F2C6FE05307098F0AE1DA
501,61.52,20210620,16710.73,86,1,977.81,86204,C56CB05CE9532C6FE05307098F0AE1DA
502,39.9,20210620,27397.92,201,1,2471.81,86205,C56CB05CE8FA2C6FE05307098F0AE1DA
503,29.15,20210620,25923.24,215,1,3201.17,86206,C56CB05D05272C6FE05307098F0AE1DA
504,43.79,20210620,5886.7,59,1,483.9,86207,C56CB05D1DC62C6FE05307098F0AE1DA
505,31.04,20210620,6279.53,55,1,728.28,86208,C56CB05D11B42C6FE05307098F0AE1DA
506,22.91,20210620,5285.32,49,1,830.65,86209,C56CB05D36752C6FE05307098F0AE1DA
507,38.9,20210620,1872.95,11,1,173.34,86210,C56CB05DA0E32C6FE05307098F0AE1DA
508,22.54,20210620,3285.18,34,1,524.59,86211,C56CB05DA5542C6FE05307098F0AE1DA
509,33.25,20210620,10197.5,90,1,1104.01,86212,C56CB05D1DF02C6FE05307098F0AE1DA
510,42.66,20210620,7790.29,56,1,657.47,86213,C56CB05D1DF22C6FE05307098F0AE1DA
511,29.13,20210620,5709.22,74,1,705.49,86214,C56CB05CE9292C6FE05307098F0AE1DA
512,27.77,20210620,3635.19,41,1,471.17,86215,C56CB05D99A92C6FE05307098F0AE1DA
513,29.68,20210620,4104.23,43,1,497.89,86216,C56CB05CE9232C6FE05307098F0AE1DA
514,44.22,20210620,3275.87,28,1,266.71,86217,C56CB05D94F32C6FE05307098F0AE1DA
515,69.75,20210620,846.09,7,1,43.67,86218,C56CB05D11F62C6FE05307098F0AE1DA
516,15.73,20210620,2331.84,27,1,533.52,86219,C56CB05CE8C82C6FE05307098F0AE1DA
517,37.96,20210620,839.09,5,1,79.58,86220,C56CB05D74242C6FE05307098F0AE1DA
518,63.56,20210620,789.6,6,1,44.72,86221,C56CB05D74012C6FE05307098F0AE1DA
519,52.5,20210620,52628.49,418,1,3609.11,87301,C56CB05D68202C6FE05307098F0AE1DA
520,54.78,20210620,48911.03,398,1,3214.18,87302,C56CB05CED602C6FE05307098F0AE1DA
521,62.94,20210620,20044.09,124,1,1146.39,87401,C56CB05D742A2C6FE05307098F0AE1DA
522,53.5,20210620,37878.92,308,1,2548.98,87402,C56CB05D43612C6FE05307098F0AE1DA
523,16.86,20210620,3493.99,59,1,746.0,88301,C56CB05DA57E2C6FE05307098F0AE1DA
524,19.92,20210620,6577.56,111,1,1188.71,88401,C56CB05D741B2C6FE05307098F0AE1DA
525,59.25,20210620,4403.84,54,1,267.59,89101,C56CB05D80952C6FE05307098F0AE1DA
526,59.87,20210620,6801.18,62,1,408.95,89102,C56CB05D053E2C6FE05307098F0AE1DA
527,46.28,20210620,16538.05,141,1,1286.5,89103,C56CB05D36582C6FE05307098F0AE1DA
528,27.35,20210620,6637.79,80,1,873.87,89104,C56CB05D99212C6FE05307098F0AE1DA
529,27.76,20210620,15460.43,162,1,2004.94,89201,C56CB05D5BCC2C6FE05307098F0AE1DA
530,49.37,20210620,25511.85,213,1,1860.4,89202,C56CB05D36B12C6FE05307098F0AE1DA
531,56.6,20210620,14802.57,112,1,941.53,89203,C56CB05D8D1A2C6FE05307098F0AE1DA
532,55.43,20210620,12035.55,151,1,781.74,89204,C56CB05DA1252C6FE05307098F0AE1DA
533,26.8,20210620,3827.53,50,1,514.15,90301,C56CB05D29FD2C6FE05307098F0AE1DA
534,26.66,20210620,834.03,11,1,112.62,90302,C56CB05D2A212C6FE05307098F0AE1DA
535,21.61,20210620,479.16,9,1,79.83,90401,C56CB05DA5852C6FE05307098F0AE1DA
536,18.56,20210620,1559.09,33,1,302.42,90402,C56CB05D98EC2C6FE05307098F0AE1DA
537,19.36,20210620,7890.19,135,1,1467.05,91301,C56CB05D994B2C6FE05307098F0AE1DA
538,21.18,20210620,12908.54,131,1,2194.47,91302,C56CB05D05D52C6FE05307098F0AE1DA
539,21.84,20210620,6104.95,80,1,1006.52,91303,C56CB05D27A02C6FE05307098F0AE1DA
540,21.99,20210620,3001.06,39,1,491.3,91401,C56CB05CE8AB2C6FE05307098F0AE1DA
541,14.39,20210620,9428.43,93,1,2358.08,91402,C56CB05DA5DA2C6FE05307098F0AE1DA
542,17.36,20210620,4152.11,90,1,861.2,91403,C56CB05D80D52C6FE05307098F0AE1DA
543,24.59,20210620,10341.88,99,1,1514.23,92301,C56CB05DA5522C6FE05307098F0AE1DA
544,20.29,20210620,9237.9,124,1,1639.19,92302,C56CB05D99782C6FE05307098F0AE1DA
545,31.98,20210620,438.17,10,1,49.33,92401,C56CB05D991A2C6FE05307098F0AE1DA
546,19.19,20210620,2293.7,23,1,430.39,92402,C56CB05D80ED2C6FE05307098F0AE1DA
547,23.38,20210620,1356.25,25,1,208.79,93301,C56CB05DA1092C6FE05307098F0AE1DA
548,23.87,20210620,556.44,10,1,83.91,93401,C56CB05D73FE2C6FE05307098F0AE1DA
549,25.27,20210620,1363.98,18,1,194.31,95101,C56CB05D4F862C6FE05307098F0AE1DA
550,21.43,20210620,11896.39,136,1,1998.84,95102,C56CB05CE9272C6FE05307098F0AE1DA
551,23.16,20210620,15107.63,187,1,2348.79,95201,C56CB05D2A4A2C6FE05307098F0AE1DA
552,21.47,20210620,501.23,12,1,84.03,95202,C56CB05D998A2C6FE05307098F0AE1DA
553,19.24,20210620,11691.84,135,1,2187.62,96301,C56CB05D05B02C6FE05307098F0AE1DA
554,19.22,20210620,16707.32,263,1,3129.27,96401,C56CB05D05402C6FE05307098F0AE1DA
555,22.24,20210620,31333.83,393,1,5071.19,97301,C56CB05D5B762C6FE05307098F0AE1DA
556,23.98,20210620,30425.88,393,1,4566.98,97401,C56CB05D67E62C6FE05307098F0AE1DA
557,40.96,20210620,1701.79,15,1,149.57,99301,C56CB05D80912C6FE05307098F0AE1DA
558,49.32,20210620,6480.63,39,1,473.01,99401,C56CB05D5B7C2C6FE05307098F0AE1DA
559,54.6,20210620,4261.98,26,1,281.01,100301,C56CB05D2A8D2C6FE05307098F0AE1DA
560,43.98,20210620,4219.61,26,1,345.42,100302,C56CB05D2A132C6FE05307098F0AE1DA
561,45.91,20210620,3257.49,16,1,255.43,100401,C56CB05D80862C6FE05307098F0AE1DA
562,57.71,20210620,2726.25,15,1,170.06,100402,C56CB05D36702C6FE05307098F0AE1DA
563,10.62,20210620,3186.59,52,1,1080.18,101101,C56CB05D4FA02C6FE05307098F0AE1DA
564,21.19,20210620,4044.04,56,1,687.19,101201,C56CB05D05432C6FE05307098F0AE1DA
565,19.2,20210620,3642.56,56,1,682.9,102101,C56CB05D99492C6FE05307098F0AE1DA
566,22.22,20210620,7713.66,110,1,1249.69,102201,C56CB05D05922C6FE05307098F0AE1DA
567,17.25,20210620,548.59,7,1,114.49,103101,C56CB05CE8CF2C6FE05307098F0AE1DA
568,19.36,20210620,1473.5,13,1,273.97,103102,C56CB05D37102C6FE05307098F0AE1DA
569,29.32,20210620,1879.15,16,1,230.76,103201,C56CB05D4F632C6FE05307098F0AE1DA
570,26.59,20210620,1914.23,21,1,259.13,103202,C56CB05D99392C6FE05307098F0AE1DA
571,13.55,20210620,7208.97,103,1,1914.73,104101,C56CB05D056C2C6FE05307098F0AE1DA
572,24.35,20210620,3612.93,56,1,534.16,104102,C56CB05D80B22C6FE05307098F0AE1DA
573,19.92,20210620,7103.17,98,1,1283.88,104201,C56CB05D05192C6FE05307098F0AE1DA
