,F,T,S,E
9350,2,1,1194,1195_1194
9351,1,1,1217,1217
9352,66,38,1260,1259_1259_1259_1259_1259_1259_1259_1283_1161_1214_1214_1260_1260_1259_1259_1260_1259
9353,1,1,1261,1261
9354,1,1,1283,1283
9355,1,1,1285,1285
9356,3,2,1308,1309_674_1308
9357,3,3,1315,1315
9358,2,2,1317,446_1317
9359,1,1,1332,1332
9360,47,33,1366,1365_1364_1364_1364_1365_1365_1365_1364_1364_1364_1364_1364_1365_1365_1364_1365_1365_1365_1365_1365_1365_1365_1365_1365_1365_1365_1365_1364_1365_1364_1364_1364_1365_1366
9361,1,1,1367,1368_1367
9362,55,34,1371,1374_1374_1374_1374_1374_1374_1374_1374_1374_1374_1374_1374_1374_1371
9363,1,1,1377,1377
9364,1,1,12,143_12
9365,1,1,25,85_25
9366,2,2,31,32_32_31
9367,5,5,60,60
9368,1,1,65,65
9369,1,1,66,66
9370,12,6,72,144_73_73_73
9371,1,1,76,77_76
9372,11,5,79,78_78_78_79_79_78_1282_79
9373,2,2,98,33_98
9374,2,2,99,99
9375,1,1,107,
9376,1,1,123,1288_123
9377,1,1,139,139
9378,1,1,190,190
9379,5,5,199,200_200_200_200_200_199
9380,1,1,208,208
9381,2,2,222,223_223_222
9382,1,1,235,235
9383,83,27,236,237_56_237_203_204_241_241_178_203_202_202_204_204_204_204_202_202_178_204_241_202_178_178_178_241_202_204_204_204_178_178_178_203_202_241_204_203_206_242_204_205_56_206_237_206_236
9384,1,1,241,241
9385,1,1,251,1281_251
9386,2,2,263,380
9387,1,1,288,289_288
9388,1,1,293,294_293
9389,19,7,297,1004_296_1036_1036_1035_1035_1004_1012_1013_296_1012_296_297
9390,1,1,299,
9391,1,1,302,303_302
9392,2,2,314,315_314
9393,1,1,315,316
9394,1,1,397,397
9395,2,2,401,330_401
9396,7,6,408,407_407_407_408
9397,2,2,418,419_419_418
9398,1,1,422,422
9399,17,4,426,427_427_425_428_427_426
9400,1,1,429,429
9401,1,1,441,441
9402,2,2,442,442
9403,19,13,448,350_350_557_557_350_350_350_449_449_350_557_557
9404,1,1,462,462
9405,1,1,471,471
9406,12,11,474,656_656_657_656_656_656_656_656_656_656_474
9407,1,1,505,505
9408,11,11,511,511
9409,1,1,527,527
9410,2,2,535,535
9411,2,2,547,547
9412,2,1,554,554
9413,1,1,556,556
9414,1,1,563,563
9415,2,1,601,601
9416,1,1,644,644
9417,1,1,659,659
9418,1,1,671,671
9419,2,2,692,691_692
9420,5,3,707,680_706_707
9421,1,1,708,708
9422,1,1,732,732
9423,1,1,733,734_733
9424,1,1,754,754
9425,15,7,773,796_773_796
9426,2,1,794,794
9427,20,11,804,1241_1267_803_803_802_926_803_805_803_1267_803_804
9428,1,1,808,814_808
9429,2,2,815,816_815
9430,4,3,820,900_900_820
9431,1,1,839,839
9432,2,2,848,848
9433,2,1,852,916_852
9434,5,2,854,856_855_854
9435,1,1,871,871
9436,1,1,877,877
9437,4,4,895,894_894_894_895
9438,1,1,902,902
9439,2,2,903,919_903
9440,2,1,909,1298_909
9441,1,1,928,928
9442,2,2,951,951
9443,1,1,953,953
9444,1,1,957,957
9445,2,2,975,975
9446,2,2,979,978_979
9447,3,3,985,924_985
9448,1,1,1010,1011_1010
9449,1,1,1018,1018
9450,1,1,1027,1028_1027
9451,1,1,1055,1055
9452,2,1,1061,1066_1061
9453,1,1,1064,1064
9454,1,1,1076,1076
9455,1,1,1078,1078
9456,2,1,1083,1106_1083
9457,2,1,1087,1088_1087
9458,1,1,1096,1096
9459,3,2,1097,1098_1097
9460,4,2,1114,1118_1118_1114
9461,1,1,1117,1117
9462,2,1,1124,1125_1124
9463,9,4,1126,1121_1099_1121_1127_1127_1128_1126
9464,1,1,1127,1127
9465,4,2,1150,1150
9466,1,1,1160,1160
9467,1,1,1205,1205
9468,6,4,1225,881_1205_1225
9469,1,1,1228,1228
9470,1,1,1229,1230_1229
9471,1,1,1231,1231
9472,2,2,1254,1254
9473,1,1,1314,1314
9474,1,1,1331,1331
9475,1,1,1340,1340
9476,1,1,1350,1350
9477,1,1,1353,1353
9478,1,1,1372,1375_1372
9479,1,1,3,4_3
9480,2,2,8,170_170_8
9481,2,1,11,143_95_11
9482,2,2,17,18_18_17
9483,1,1,19,19
9484,1,1,20,1204_20
9485,1,1,44,390_44
9486,1,1,50,125_50
9487,8,4,51,92_91_92_91_125_50_51
9488,1,1,87,88_87
9489,1,1,96,96
9490,1,1,100,100
9491,1,1,111,111
9492,2,2,128,127_128
9493,2,1,148,149_148
9494,1,1,153,156_153
9495,1,1,161,161
9496,1,1,196,197_196
9497,3,3,202,
9498,1,1,265,383_265
9499,1,1,273,273
9500,1,1,276,276
9501,1,1,298,298
9502,2,1,316,341_316
9503,1,1,324,324
9504,1,1,338,338
9505,2,1,351,351
9506,1,1,407,
9507,2,2,413,414_414_413
9508,1,1,428,428
9509,1,1,437,437
9510,1,1,440,440
9511,4,1,445,690_747_447_446_445
9512,1,1,449,449
9513,1,1,453,453
9514,1,1,468,469_468
9515,1,1,472,472
9516,1,1,502,502
9517,1,1,522,523_522
9518,1,1,540,541_540
9519,1,1,557,
9520,1,1,581,634_581
9521,1,1,583,583
9522,2,1,585,712_585
9523,1,1,596,
9524,11,11,609,609
