,F,T,S,E
504,11,6,778,779_806_779_214_806_779_778
505,1,1,790,
506,5,3,808,807_807_808
507,2,1,828,888_829_828
508,2,2,841,792_841
509,1,1,843,
510,1,1,884,884
511,2,2,889,889
512,1,1,892,
513,1,1,926,926
514,1,1,954,
515,30,11,956,983_963_963_958_958_957_958_982_983_956_983_983_982
516,2,1,967,969_968_967
517,1,1,976,976
518,2,1,977,978_977
519,1,1,979,979
520,1,1,981,981
521,2,2,985,985
522,1,1,986,986
523,1,1,1001,1031_1001
524,4,3,1014,1033_1033_639_1033
525,1,1,1017,1017
526,2,2,1029,1029
527,2,2,1040,1041_1041_1040
528,1,1,1055,1055
529,1,1,1062,1062
530,1,1,1072,
531,1,1,1082,1082
532,3,3,1101,1102_1101
533,1,1,1105,1344_1105
534,1,1,1125,1125
535,1,1,1148,1148
536,2,2,1201,1201
537,2,1,1205,1225_1205
538,8,5,1219,1220_1219_1220_1134_1220_1219
539,1,1,1241,1241
540,4,3,1248,1249_1247_1249_1249_1248
541,1,1,1261,1261
542,1,1,1263,1263
543,2,2,1270,1270
544,2,2,1279,1279
545,2,2,1284,1284
546,1,1,1286,1286
547,1,1,1338,1338
548,1,1,1339,1340_1339
549,1,1,1346,
550,1,1,1353,1354_1353
551,1,1,1377,1377
552,2,2,11,11
553,1,1,17,18_17
554,1,1,76,146
555,34,11,130,441_129_441_413_437_413_437_414_414_413_441_437_441_130_129_130
556,2,2,209,209
557,1,1,214,214
558,3,2,283,284_284_283
559,1,1,308,308
560,4,4,367,367
561,1,1,391,438_391
562,12,6,392,393_393_391_392_393
563,1,1,413,413
564,1,1,422,422
565,1,1,429,429
566,2,2,434,
567,1,1,492,563_492
568,1,1,497,
569,8,8,511,511
570,1,1,519,519
571,1,1,572,572
572,2,2,588,588
573,4,3,606,742_742_606
574,1,1,625,625
575,1,1,652,
576,1,1,673,673
577,2,1,688,689_688
578,1,1,704,
579,1,1,722,722
580,3,3,764,763_763_764
581,1,1,776,777_776
582,2,1,806,971
583,1,1,810,810
584,1,1,829,829
585,1,1,835,
586,1,1,846,872_846
587,1,1,847,847
588,4,3,883,884_884_883
589,1,1,887,
590,1,1,888,888
591,2,1,908,
592,1,1,912,912
593,3,2,924,925_923_924
594,1,1,933,
595,1,1,935,935
596,1,1,940,940
597,1,1,944,944
598,1,1,950,
599,3,3,953,953
600,2,2,958,
601,1,1,969,969
602,5,4,972,973_973_973_972
603,2,2,1013,
604,1,1,1018,1018
605,2,2,1031,1001_1031
606,2,2,1036,
607,1,1,1078,1079_1078
608,1,1,1087,1088_1087
609,3,2,1090,1090
610,1,1,1102,1103
611,1,1,1109,1109
612,1,1,1114,1118_1114
613,2,2,1131,1132_1132_1131
614,2,1,1138,1139
615,1,1,1173,1173
616,1,1,1200,1200
617,1,1,1208,
618,1,1,1212,1258_1212
619,1,1,1217,1217
620,1,1,1224,1224
621,1,1,1225,1225
622,1,1,1252,1252
623,1,1,1253,1253
624,2,1,1264,
625,2,2,1274,1275_1275_1274
626,1,1,1285,1285
627,1,1,1337,1337
628,1,1,1344,1344
629,1,1,1345,1345
630,1,1,1354,1354
631,1,1,1359,1359
632,1,1,1373,1373
633,1,1,37,
634,1,1,83,83
635,1,1,108,108
636,1,1,124,124
637,1,1,131,131
638,2,1,132,398_399_132
639,2,2,138,
640,1,1,140,
641,2,1,146,147
642,1,1,154,154
643,1,1,179,179
644,1,1,215,215
645,3,2,220,221_221_220
646,5,4,234,235
647,1,1,247,247
648,1,1,262,262
649,10,6,273,272_272_273
650,1,1,277,
651,15,6,292,1055_293_1031_1001_1001_1031_1055_292
652,1,1,305,306_305
653,1,1,338,338
654,1,1,339,339
655,1,1,358,358
656,1,1,389,389
657,2,2,409,410_410_409
658,1,1,475,475
659,1,1,483,739
660,5,2,546,741_546
661,2,2,552,
662,8,6,574,574
663,3,2,596,589_596
664,4,3,615,616_615
665,1,1,627,628_627
666,1,1,636,636
667,1,1,656,656
668,2,1,659,660_659
669,1,1,668,
670,2,1,672,672
671,1,1,685,685
672,3,3,710,
673,4,3,716,643_716
674,1,1,731,731
675,2,1,767,768_767
676,6,6,798,212_212_212_212_212_798
677,1,1,809,809
678,1,1,827,986_827
679,1,1,833,833
680,2,2,840,840
681,4,3,860,952
682,1,1,904,904
683,1,1,926,
684,2,2,928,929_928
685,1,1,929,
686,3,3,939,940_939
687,1,1,942,942
688,1,1,954,954
689,2,2,960,923_960
690,1,1,967,968_967
691,2,2,976,976
692,1,1,979,979
693,1,1,981,981
694,19,9,993,996_994_996_996_994_994_993_994_996_996
695,1,1,1010,
696,1,1,1037,1043_1037
697,1,1,1048,1048
698,1,1,1060,1060
699,2,1,1061,1066_1061
700,1,1,1062,1062
701,1,1,1083,1083
702,1,1,1091,1092_1091
703,1,1,1124,1125_1124
704,3,2,1126,1098_1097_1126
705,1,1,1133,1133
706,1,1,1148,1148
707,1,1,1156,1156
708,1,1,1172,1172
709,2,2,1213,1161_1213
710,2,2,1263,
711,1,1,1277,1277
712,2,2,1293,1293
713,3,3,1299,1299
714,1,1,1327,1327
715,1,1,1339,1340_1339
716,3,3,3,3
717,1,1,8,170_8
718,3,2,113,
719,1,1,147,147
720,2,2,150,150
721,6,6,169,169
722,1,1,172,172
723,1,1,185,185
724,1,1,235,
725,21,10,281,422_422_282_283_381_284_284_283_281_381_283_381_284_382_283_283_282_281
726,2,2,302,303_302
727,4,4,308,308
728,8,7,340,335_340
729,1,1,346,346
730,1,1,377,377
731,3,2,413,414_413
732,1,1,420,421_420
733,25,17,471,470_472_470_470_472_1352_470_472_470_470_470_472_472_470_1352_472_470_470_470_472_470_470_470
734,1,1,491,491
735,1,1,494,727_494
736,1,1,503,503
737,2,2,508,508
738,1,1,514,514
739,3,2,521,287_732_521
740,1,1,523,523
741,3,3,547,547
742,2,2,572,
743,1,1,595,595
744,3,2,626,625_626
745,1,1,676,676
746,1,1,687,687
747,5,3,688,688_689_688
748,1,1,692,692
749,1,1,705,
750,1,1,726,726
751,1,1,748,749_748
752,1,1,758,758
753,2,1,777,985_777
754,3,2,789,936_789
755,1,1,799,799
756,1,1,806,971
757,1,1,825,825
758,9,6,828,889_889_889_889_889_829_829_888_828
759,1,1,830,959_830
760,2,2,847,847
761,1,1,868,868
762,3,3,907,907
763,1,1,968,968
764,1,1,992,992
765,1,1,1000,1000
766,2,2,1017,
767,1,1,1038,1038
768,2,1,1040,1043_1040
769,1,1,1072,
770,2,1,1087,1088_1087
771,1,1,1089,1089
772,1,1,1105,1344_1105
773,9,4,1109,954_817_816_817_818_1262_1109
774,1,1,1111,1111
775,1,1,1118,1118
776,1,1,1121,1121
777,2,2,1201,1201
778,2,2,1224,1224
779,1,1,1261,1261
780,1,1,1279,
781,3,3,1310,1309_1309_1310
782,1,1,1346,1346
783,2,2,1359,358_1359
784,2,1,1364,1365_1364
785,1,1,1366,1366
786,1,1,1368,1368
787,2,2,11,11
788,3,1,27,27
789,5,3,28,333_28
790,4,4,83,83
791,1,1,90,90
792,1,1,98,98
793,6,5,116,116
794,1,1,124,124
795,1,1,128,128
796,2,2,131,131
797,1,1,263,263
798,3,3,266,266
799,2,1,278,278
800,1,1,283,284
801,1,1,290,
802,1,1,305,306_305
803,2,2,360,
804,2,2,389,399_399_389
805,2,2,403,403
806,2,2,412,
