,S,N
706,651,13
707,650,1
708,649,1
709,648,6
710,647,25
711,646,8
712,645,5
713,644,9
714,643,20
715,642,8
716,641,12
717,640,23
718,639,23
719,638,16
720,637,11
721,636,35
722,635,13
723,634,18
724,633,4
725,632,8
726,631,2
727,630,14
728,629,10
729,628,19
730,627,20
731,626,17
732,625,24
733,624,8
734,623,18
735,622,5
736,621,14
737,620,1
738,619,19
739,618,2
740,617,16
741,616,11
742,615,21
743,614,2
744,613,1
745,611,23
746,610,12
747,609,2
748,608,3
749,606,30
750,604,5
751,603,36
752,602,21
753,601,5
754,598,1
755,596,34
756,595,18
757,594,6
758,593,21
759,592,1
760,591,1
761,590,15
762,589,17
763,588,24
764,587,6
765,586,2
766,583,15
767,582,4
768,581,9
769,579,1
770,577,1
771,576,8
772,575,1
773,574,18
774,573,3
775,572,20
776,571,1
777,570,5
778,569,6
779,568,1
780,567,1
781,565,11
782,564,31
783,563,22
784,562,15
785,561,23
786,560,1
787,559,1
788,558,3
789,557,5
790,556,25
791,555,2
792,554,13
793,553,4
794,552,14
795,551,13
796,550,3
797,549,1
798,548,7
799,547,23
800,546,21
801,545,4
802,544,4
803,543,1
804,542,17
805,541,23
806,540,20
807,539,9
808,538,18
809,537,2
810,536,7
811,535,23
812,533,2
813,532,4
814,531,15
815,530,20
816,529,2
817,528,3
818,527,4
819,526,11
820,525,26
821,524,5
822,523,15
823,522,10
824,521,16
825,520,2
826,519,19
827,518,11
828,517,26
829,516,21
830,515,18
831,514,23
832,513,2
833,512,4
834,511,23
835,510,13
836,509,5
837,508,37
838,507,1
839,506,1
840,505,3
841,504,2
842,503,8
843,502,19
844,501,17
845,500,12
846,497,15
847,496,29
848,495,17
849,494,23
850,493,22
851,492,20
852,491,31
853,490,4
854,489,6
855,488,32
856,487,7
857,485,9
858,484,11
859,483,24
860,482,1
861,480,31
862,479,13
863,478,14
864,477,5
865,476,3
866,475,13
867,474,44
868,473,28
869,472,12
870,471,30
871,470,4
872,469,7
873,468,7
874,467,8
875,466,13
876,465,3
877,464,8
878,461,11
879,460,13
880,459,16
881,458,3
882,457,1
883,456,6
884,455,4
885,453,2
886,452,29
887,451,13
888,450,2
889,449,1
890,448,1
891,447,4
892,445,4
893,444,14
894,443,16
895,442,39
896,441,6
897,440,5
898,439,2
899,438,14
900,437,14
901,436,4
902,434,16
903,433,2
904,432,1
905,431,3
906,430,8
907,429,29
908,428,11
909,427,3
910,426,2
911,425,3
912,424,3
913,423,5
914,422,22
915,421,6
916,420,24
917,419,9
918,418,19
919,417,10
920,416,23
921,415,23
922,414,19
923,413,28
924,412,18
925,411,6
926,410,8
927,409,15
928,408,4
929,407,2
930,406,5
931,405,3
932,404,6
933,403,23
934,402,3
935,401,1
936,400,13
937,399,26
938,398,14
939,397,21
940,396,2
941,395,1
942,393,12
943,392,19
944,391,32
945,390,1
946,389,15
947,388,3
948,387,4
949,385,1
950,384,8
951,383,10
952,382,7
953,381,24
954,380,4
955,379,14
956,378,1
957,377,10
