,E,N
471,880_1194_878_1234_1233_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1235_1234_1234_878_1236_1237_878_1237_878_878_1236_878_1236_1176_1176_1176_1175_1336_1336_1188_1188_1215_1218_1218_1137_882_882_882_882_1194_1334_1195_1192_1236_878_878_1192_1236_878_1192_1192_1210_1175_1180_1180_1180_1181_877_1176_1174_1174_1181_1181_877_1191_877_1192_1176_1192_1191_1176_1175_1191_1180_1180_1180_1176_1175_1176_1192_1192_1180_1180_1180_1180_1176_1181_1176_1181_1149_877_1180_1191_1336_1336_1142_1149_1182_1184_1361_1182_1184_1195_1195_1195_1335_882_1136_1323_1342_1189_882_882_882_1176_1144_1144_1144_1143_1144_1145_1144_1342_1144_1145_1144_1144_1144_1144_1145_1144_1361_1141_1361_1336_1335_1145_1142_1145_1142_1141_1141_1361_1336_1210_1192_1236_878_1236_878_1192_1194_1192_1210_1211_1192_880_880_1227_1228_880_879_1236_1237_877_876_878_879_1193_1210_1192_1177_1195_1336_1176_1336_882_21_21_1206_21_1206_882_1206_1137_1142_1142_1145_1145_1144_1144_1144_1144_1179_882_882_1137_882_1334_1333_1195_1334_1322_1189_1189_1137_1323_1142_1238_1144_1145_1145_1238_1145_1144_1145_1142_1145_1145_1178_1336_1180_1175_1180_877_877_1180_1191_1180_1180_1180_1180_1180_1180_1180_1180_1180_1180_1180_1180_1180_1191_1175_1176_1176_1191_1176_1191_1191_1181_1180_1180_1180_1180_1180_1180_1180_1174_1180_1176_1176_1191_1176_1176_1176_1176_1234_1234_1236_1234_1207_1154_1207_1207_1207_1200_1200_1200_1201_1200_1200_1200_1200_1200_1200_1200_1200_1200_1200_1200_1200_1207_1200_1201_1207_1207_1207_1153_1153_1207_1207_1207_1154_1293_1154_1154_1201_1207_1207_1154_1154_1154_1153_1293_1293_1154_1153_1293_1293_1153_1236_1236_1209_1209_879_1209_879_1236_1233_1237_1237_1236_1236_1236_1233_1237_879_1210_879_1210_1211_1211_1211_1211_1211_1211_1211_1211_1211_1193_1210_1211_1211_1210_1211_1193_1191_1192_876_876_877_1181_1176_1180_1180_1180_1180_1181_1176_1175_876_876_876_877_1191_1180_1175_1180_877_1175_1181_1176_1176_1175_1191_1176_1141_1140_1336_1336_1181_1150_1181_1238_1152_1152_1152_1152_1152_1238_1151_1152_1152_1152_1152_1151_1240_1150_1149_1180_1174_1174_1181_1150_1149_1182_1182_1142_1141_1141_1361_1361_1336_1322_1189_1189_1137_1137_1189_1137_1137_1189_1323_1336_1336_1336_1141_1361_1141_1361_1149_1361_1182_1184_1183_1141_1142_1140_1141_1361_1182_1182_1184_1184_1183_1140_1140_1141_1361_1149_1149_1182_1184_1149_1361_1182_1184_1361_1323_1189_1189_882_882_1195_1195_1336_1189_1137_1188_1188_1189_1137_1143_1144_1144_1144_1143_1336_1322_1322_1323_1342_1334_1334_882_882_884_884_883_882_882_882_1189_1137_1137_882_882_882_883_882_1195_1189_882_882_882_882_1334_1194_1195_1195_882_882_1137_1336_1195_1195_1195_1189_1179_1136_1143_1179_1143_1182_1143_1143_1182_1184_1184_1184_1361_1140_1141_1361_1361_1182_1184_1179_1336_1176_1180_1176_1180_1180_1174_1149_1181_1181_1210_879_879_1194_880_1211_1193_1210_1192_1192_1194_1194_881_881_880_1194_880_1204_880_1204_1204_1227_1204_1194_880_881_881_880_1194_880_1227_1204_1194_1194_1194_1229_1228_1229_1228_1211_1193_1192_1174_1180_1180_1191_1176_1180_1149_1149_1181_1149_1181_1176_1336_1336_1144_1145_1144_1336_1176_1189_1323_1336_1336_1335_1195_1334_1334_1334_1334_1342_1322_1322_1335_1195_1322_882_1322_1322_1322_1155_1156_1140_1155_1140_1140_1142_1142_1361_1140_1141_1142_1141_1361_1361_1184_1361_1184_1195_1195_1335_1211_1211_1193_1194_1228_1210_1210_1211_1211_1194_1195_1195_1336_1145_1322_1137_1189_1136_1190_1194_1194_1334_1190_1190_1188_1218_1189_1189_1218_1189_1322_1342_1322_1179_1323_1136_1137_1189_1189_1323_1323_1144_1145_1144_1143_1144_1143_1178_1323_1190_1322_1323_1177_1335_1195_1194_1342_1195_882_882_1196_882_882_882_882_1137_882_882_1335_1335_1195_1194_1195_882_882_882_882_882_882_882_1136_1336_1177_1336_1335_882_882_1195_1336_1361_1142_1155_1140_1140_1361_1342_882_882_882_882_882_882_882_882_882_1210_1237_1237_1233_878_1236_1233_878_1237_1236_878_878_878_879_1175_1149_1181_1181_1180_1180_1180_1176_1176_1181_1176_877_877_1210_1210_1141_1195_1336_1336_882_882_1361_1140_1144_1143_1144_1144_1144_1144_882_1333_1334_1334_1336_1336_1336_1144_1240_1144_1144_1144_1144_1240_1144_1151_1151_1238_1238_1240_1240_1144_1142_1142_1144_1145_1182_1182_1140_1140_1140_1140_1155_1140_1140_1140_1140_1140_1140_1140_1140_1156_1140_1155_1140_1140_1361_1189_1195_1336_1336_1177_1336_882_882_882_1335_882_1195_1322_1322_1323_1142_1142_1145_1144_1240_1240_1145_1143_1240_1142_1238_1142_1144_1142_1238_1144_1145_1188_1189_1137_1137_1179_1322_1189_1336_1336_1336_1336_882_882_1322_1323_1322_1195_1195_1194_1334_1195_1335_1336_1336_1184_1184_1182_1181_1181_1149_1149_1149_1181_1149_1184_1189_1189_1218_1189_1137_1137_1188_1137_882_1189_1189_1210_1210_1193_1205_1205_881_881_1227_880_880_1228_1229_1228_1228_880_1210_1210_1210_880_880_1227_1228_880_880_1237_1237_1237_1236_878_1237_1237_1237_1236_878_1236_1175_1176_1149_1149_1181_1181_1176_880_1194_1229_1228_1228_1227_1210_880_879_1236_1237_1237_1236_878_1210_1237_1237_1236_878_1236_1237_1236_878_1236_1192_1236_1236_879_878_1211_1211_1210_877_1181_1175_1175_1180_1180_877_1180_1180_1180_1180_1174_1176_1149_1149_1184_1184_1148_1149_1361_1361_1184_1184_1140_1140_1140_1140_1140_1142_1361_1140_1141_1361_1182_1179_1183_1149_1184_1182_1149_1176_877_1180_1180_1180_1180_1180_1174_1176_1176_1192_1191_1192_1227_880_1195_1193_1210_1194_1193_1228_1194_1180_1180_1180_1180_1174_1180_1180_878_1194_878_1192_1191_878_1233_1237_878_878_1237_1210_1210_1195_1194_1210_1195_1189_1137_1190_1190_1179_1184_1184_1184_1361_1361_1336_882_1322_1145_1144_1144_1144_1143_1240_1144_1145_1142_1145_1144_1141_1145_1140_1182_1183_1182_1184_1184_1334_882_882_1190_1136_1190_1190_1336_1336_1336_1141_1140_1361_1140_1361_1184_1322_1322_1323_1196_1177_1179_1143_1143_1333_1334_1333_1194_1333_1334_1177_878_1237_1237_878_1237_1237_1236_1236_878_879_878_878_878_1210_1237_1233_1236_1237_1236_878_1236_1236_1237_1237_1236_878_882_882_881_1205_882_882_882_1205_1204_1227_1204_880_880_878_1180_1180_1180_1180_1180_1176_1336_1336_1184_1182_1184_1149_1181_1181_1176_1176_1191_1180_1180_1180_1180_1149_1181_1149_1149_1176_1176_1176_1180_1227_1210_1193_1210_1194_1194_1194_1210_1227_1210_1210_1192_1210_1236_1236_1237_1210_1177_1334_1195_1336_1361_1361_1184_1361_1140_1140_1240_1240_1238_1238_1240_1142_1144_1145_1238_1145_1142_1142_1141_1141_1181_1150_1182_1181_1141_1144_1143_1144_1144_1144_1240_1144_1144_1144_1240_1240_1150_1240_1152_1150_1238_1149_1180_1180_1174_1180_1180_1191_1190_1322_1322_1323_1184_1336_1190_1179_1190_1196_882_1189_1189_1137_1136_1189_1136_1179_1190_1189_1323_1336_1336_1336_1177_1190_1190_1189_1190_1322_1322_1323_1190_1143_1143_1190_882_882_882_1137_1323_1323_1195_1334_1334_1334_1195_1334_1334_1335_1140_1182_1184_1342_1322_1322_1237_1232_1232_1236_878_878_1237_1234_1234_1235_1232_1232_1234_1234_1233_1232_1153_1234_1232_1233_1232_1237_1236_1236_877_1180_1191_1181_1180_1180_1180_1180_1180_1175_1180_1176_877_877_1176_1191_1176_1181_1176_1175_1180_1180_1176_881_880_1195_1194_1194_881_1228_1227_1210_877_1210_880_1194_1210_1228_1228_1210_1211_1193_1192_1191_1191_1180_1174_1174_1176_1176_1176_877_1180_1180_1192_1192_1149_1181_1176_1176_1176_1175_1176_1181_1150_1151_1151_1238_1238_1238_1238_1142_1181_1150_1149_1182_1184_1182_1184_1336_1335_1322_1322_1322_1322_1334_883_882_1195_1336_1179_1140_1141_1183_1336_1194_1194_20_1204_1204_1194_878_1192_1191_877_877_1191_1180_1227_1210_1228_1227_880_1210_1210_1210_1195_1194_1195_1177_1336_1178_1183_1361_1140_1140_1140_1140_1155_1278_1278_1155_1140_1155_1278_1140_1140_1179_1177_1182_1182_1335_882_882_1188_1137_1322_1322_1323_882_882_1182_1184_1323_1322_1322_1322_1322_1323_1184_1184_1361_1194_878_1191_1181_1180_1180_1176_1191_1193_1192_878_1191_1211_1194_1195_882_882_882_1323_1137_1137_1149_1182_1184_1361_1142_1184_1184_1177_1323_882_1195_882_1194_1334_1194_1195_882_1322_1190_1143_1144_1144_1144_1142_1361_1140_1361_1140_1361_1140_1141_1238_1145_1144_882_882_1322_1322_1190_1323_1182_1184_1184_1155_1140_1155_1140_1140_1141_1361_1184_1183_1342_1179_1342_1177_1177_1178_1342_1178_1137_1137_882_1177_1336_1336_1361_1141_1361_1184_1184_1182_1361_1140_1140_1141_1141_1361_1361_1182_1182_1182_1182_1140_1144_1144_1145_1142_1142_1141_1361_1182_1183_1176_1176_877_877_1176_1181_1191_1181_1176_877_1192_1192_878_1237_1237_1236_1236_1236_878_878_879_879_1210_1210_1236_1236_878_1192_1192_1192_1194_1193_1210_1192_882_1322_1323_1137_1188_1188_1189_1137_1188_1190_1176_1180_1191_1191_876_876_876_876_877_1237_1236_1235_1235_1235_1235_1235_1235_1233_1233_1235_1235_1232_1235_1234_1233_1235_1235_1235_1237_1237_878_1237_878_1237_1234_1234_1233_1232_1237_1236_879_1194_880_881_1205_1205_1204_1205_1194_1194_1194_1229_1228_1228_879,1
472,88,7
473,87_88,4
474,87_87_87_87_88,1
475,87_86,6
476,87_415_415_277_379_277_131_131_26_26_26_26_437_442_442_414_131_416_415_415_415_413_441_437_437_414_414_413_437_442_442_442_442_376_127_376_127_128_441_129_442_437_26_26_87_87_277_88_87_130_442_86_376_127_127_127_128_129_441_442_129_276_27_276_27_26_26_26_26_26_379_26_87_86_127_442_437_414_437_413_414_442_26_26_26_416_87,1
477,87_277_87_86_87,1
478,877_877_876,1
479,877_876,2
480,877,5
