,S,N
862,493,22
863,492,26
864,491,30
865,490,4
866,489,11
867,488,25
868,487,9
869,485,10
870,484,13
871,483,16
872,482,1
873,480,34
874,479,13
875,478,12
876,477,8
877,476,6
878,475,25
879,474,33
880,473,21
881,472,12
882,471,34
883,470,2
884,469,6
885,468,2
886,467,8
887,466,11
888,465,3
889,464,17
890,463,2
891,462,7
892,461,11
893,460,10
894,459,21
895,458,4
896,457,1
897,456,9
898,455,4
899,453,1
900,452,24
901,451,15
902,450,13
903,449,8
904,448,2
905,447,19
906,446,5
907,445,10
908,444,25
909,443,2
910,442,37
911,441,12
912,440,6
913,439,1
914,438,15
915,437,24
916,436,8
917,435,1
918,434,28
919,433,4
920,432,3
921,431,8
922,430,25
923,429,9
924,428,20
925,427,5
926,426,6
927,425,2
928,424,7
929,423,2
930,422,22
931,421,4
932,420,22
933,419,6
934,418,17
935,417,7
936,416,25
937,415,26
938,414,24
939,413,28
940,412,24
941,411,4
942,410,13
943,409,14
944,408,1
945,407,7
946,406,3
947,405,2
948,404,7
949,403,18
950,402,3
951,401,11
952,400,27
953,399,23
954,398,14
955,397,20
956,396,4
957,395,4
958,394,8
959,393,13
960,392,27
961,391,20
962,390,2
963,389,14
964,388,4
965,387,3
966,385,1
967,384,4
968,383,15
969,382,6
970,381,18
971,380,1
972,379,11
973,378,1
974,377,5
975,376,26
976,375,3
977,374,25
978,373,3
979,372,20
980,371,5
981,370,21
982,369,4
983,368,3
984,367,30
985,365,3
986,364,11
987,363,5
988,362,13
989,361,15
990,360,25
991,359,14
992,358,25
993,357,6
994,356,16
995,355,31
996,354,5
997,353,33
998,352,6
999,351,22
1000,350,21
1001,349,8
1002,348,24
1003,347,14
1004,346,11
1005,345,28
1006,342,2
1007,341,22
1008,340,21
1009,339,16
1010,338,17
1011,337,1
1012,336,3
1013,335,27
1014,334,2
1015,333,8
1016,332,3
1017,331,3
1018,330,12
1019,329,7
1020,328,5
1021,327,3
1022,326,7
1023,325,3
1024,324,6
1025,323,6
1026,322,6
1027,321,24
1028,320,7
1029,319,3
1030,317,2
1031,316,7
1032,312,4
1033,311,16
1034,310,14
1035,309,21
1036,308,6
1037,307,3
1038,306,8
1039,305,29
1040,303,10
1041,302,32
1042,301,25
1043,300,1
1044,299,4
1045,298,10
1046,297,21
1047,296,17
1048,295,38
1049,294,10
1050,293,29
1051,292,23
1052,291,5
1053,290,18
1054,289,14
1055,288,13
1056,287,12
1057,286,3
1058,285,2
1059,284,3
1060,283,19
1061,282,14
1062,281,38
1063,280,5
1064,279,6
1065,278,24
1066,277,38
1067,276,22
1068,275,22
1069,274,14
1070,273,22
1071,272,18
1072,270,2
1073,267,36
1074,266,16
1075,265,18
1076,264,3
1077,263,4
1078,262,20
1079,261,23
1080,257,11
1081,256,3
1082,254,4
1083,253,12
1084,252,21
1085,251,18
1086,250,32
1087,249,15
1088,248,20
1089,247,6
1090,246,8
1091,244,1
1092,242,6
1093,241,8
1094,240,5
1095,239,30
1096,238,18
1097,237,7
1098,236,6
1099,235,21
1100,234,10
1101,233,11
1102,231,3
1103,229,2
1104,228,17
1105,227,2
1106,226,3
1107,225,31
1108,224,11
1109,223,7
1110,222,22
1111,221,11
1112,220,16
1113,219,20
1114,218,8
1115,217,9
1116,216,8
1117,215,13
1118,214,13
1119,213,1
1120,212,5
1121,211,5
1122,210,5
1123,209,5
1124,208,25
1125,206,8
1126,205,11
1127,204,13
1128,203,2
1129,202,3
1130,201,10
1131,200,2
1132,199,4
1133,198,8
1134,197,9
1135,196,3
1136,195,2
1137,194,5
1138,193,10
1139,192,9
1140,191,15
1141,190,16
1142,189,9
1143,188,1
1144,187,1
1145,186,10
1146,185,12
1147,183,15
1148,181,7
1149,179,14
1150,178,5
1151,177,2
1152,176,6
1153,174,6
1154,173,15
1155,172,9
1156,170,19
1157,169,32
1158,168,4
1159,166,7
1160,165,15
1161,164,23
1162,163,20
1163,162,16
1164,161,22
1165,160,13
1166,159,31
1167,158,8
1168,157,26
1169,156,12
1170,155,20
1171,154,32
1172,153,21
1173,151,10
1174,150,38
1175,149,34
1176,148,21
1177,147,1
1178,146,28
1179,145,2
1180,144,18
1181,143,2
1182,142,9
1183,141,8
1184,140,28
1185,139,14
1186,138,10
1187,137,8
1188,136,1
1189,135,31
1190,134,3
1191,133,6
1192,132,28
1193,131,18
1194,130,28
1195,129,16
1196,128,18
1197,127,14
1198,125,17
1199,124,5
1200,123,16
1201,122,3
1202,121,14
1203,119,4
1204,118,17
1205,117,16
1206,116,31
1207,114,16
1208,113,15
1209,112,1
1210,111,11
1211,110,10
1212,109,1
1213,108,29
1214,107,9
1215,106,10
1216,105,4
1217,104,3
1218,103,9
1219,102,15
1220,101,4
1221,100,6
1222,98,13
1223,97,6
1224,96,19
1225,95,1
1226,94,6
1227,93,21
1228,92,13
1229,91,24
1230,90,8
1231,89,15
1232,88,5
1233,87,6
1234,86,21
1235,85,21
1236,84,17
1237,83,16
1238,82,12
1239,81,24
1240,79,6
1241,78,1
1242,77,18
1243,76,15
1244,75,1
1245,74,2
1246,73,1
1247,72,7
1248,71,12
1249,70,19
1250,69,22
1251,68,40
1252,67,8
1253,66,21
1254,65,8
1255,64,5
1256,61,3
1257,60,1
1258,59,11
1259,58,14
1260,57,8
1261,56,13
1262,55,6
1263,54,16
1264,51,8
1265,50,8
1266,49,14
1267,48,11
1268,47,11
1269,43,21
1270,42,3
1271,41,14
1272,40,4
1273,38,3
1274,37,19
1275,35,35
1276,34,15
1277,32,3
1278,30,1
1279,29,12
1280,28,28
1281,27,14
1282,25,27
1283,21,30
1284,20,21
1285,19,2
1286,18,2
1287,15,18
1288,13,36
1289,12,6
1290,11,29
1291,9,34
1292,8,26
1293,7,6
1294,6,3
1295,3,19
1296,2,14
