,S,N
649,705,5
650,704,11
651,703,13
652,702,10
653,701,15
654,700,19
655,699,7
656,698,9
657,697,2
658,696,15
659,695,7
660,694,5
661,693,14
662,692,11
663,691,10
664,690,8
665,689,30
666,688,16
667,687,4
668,686,13
669,685,14
670,684,15
671,683,6
672,682,1
673,681,22
674,680,27
675,679,15
676,678,14
677,677,22
678,676,12
679,675,14
680,674,17
681,673,1
682,672,10
683,671,26
684,670,17
685,669,8
686,668,12
687,667,6
688,665,22
689,664,17
690,663,9
691,662,17
692,661,10
693,660,14
694,659,8
695,658,3
696,657,6
697,656,5
698,655,12
699,654,26
700,653,25
701,652,2
702,651,4
703,650,15
704,649,13
705,648,6
706,647,3
707,646,18
708,645,15
709,644,15
710,643,12
711,642,2
712,641,18
713,640,6
714,639,9
715,638,6
716,637,8
717,636,5
718,635,9
719,634,6
720,633,1
721,632,18
722,631,3
723,630,12
724,628,5
725,627,5
726,626,10
727,625,11
728,624,7
729,623,1
730,622,1
731,621,5
732,620,18
733,619,10
734,618,19
735,617,3
736,616,10
737,615,4
738,614,16
739,613,1
740,611,13
741,609,1
742,608,5
743,606,10
744,604,4
745,603,17
746,602,10
747,601,1
748,597,1
749,596,4
750,595,5
751,594,7
752,593,10
753,592,19
754,591,6
755,590,11
756,589,12
757,588,7
758,587,16
759,586,23
760,585,7
761,584,11
762,583,18
763,582,2
764,581,16
765,580,22
766,579,15
767,578,20
768,577,24
769,576,6
770,575,4
771,574,16
772,573,16
773,572,3
774,570,6
775,569,2
776,568,20
777,567,23
778,566,29
779,565,3
780,564,3
781,563,8
782,562,25
783,561,1
784,560,19
785,559,15
786,558,13
787,557,8
788,556,17
789,555,24
790,554,23
791,553,12
792,552,12
793,551,24
794,550,19
795,549,16
796,548,12
797,547,13
798,546,21
799,545,28
800,544,23
801,543,7
802,542,11
803,541,19
804,540,18
805,539,9
806,538,12
807,537,2
808,536,10
809,535,12
810,534,18
811,533,12
812,532,14
813,531,5
814,530,7
815,529,14
816,528,10
817,527,21
818,526,11
819,525,12
820,524,3
821,523,5
822,522,8
823,521,8
824,520,10
825,519,5
826,517,15
827,516,2
828,515,6
829,514,7
830,513,24
831,512,17
832,511,38
833,510,11
834,509,5
835,508,12
836,507,2
837,506,11
838,505,26
839,504,20
840,503,10
841,502,13
842,501,3
843,500,12
844,499,28
845,498,24
846,497,9
847,496,28
848,495,5
849,494,8
850,493,6
851,492,9
852,491,15
853,490,21
854,489,2
855,488,18
856,487,13
857,486,8
858,485,14
859,484,8
860,483,8
861,482,1
862,481,1
863,480,22
864,479,17
865,477,5
866,476,5
867,475,20
868,474,3
869,473,13
870,472,6
871,471,16
872,469,16
873,468,21
874,467,14
875,466,10
876,465,10
877,464,3
878,463,23
879,462,19
880,461,1
881,460,20
882,459,2
883,458,1
884,457,3
885,456,13
886,454,6
887,453,9
888,452,3
889,451,3
890,450,19
891,449,4
892,448,15
893,447,4
894,446,18
895,445,17
896,444,2
897,443,1
898,442,18
899,441,7
900,440,1
901,439,1
902,438,6
903,437,9
904,435,23
905,433,11
906,432,21
907,431,10
908,430,16
909,428,5
910,427,10
911,426,29
912,425,12
913,424,16
914,422,3
915,421,2
916,420,3
917,419,3
918,418,3
919,417,3
920,416,3
921,415,4
922,414,16
923,413,14
924,412,1
925,411,19
926,409,3
927,408,26
928,407,19
929,406,18
930,405,16
931,404,33
932,403,9
933,402,18
934,401,15
935,400,3
936,399,15
937,398,1
938,397,1
939,396,12
940,395,8
941,394,4
942,393,1
943,392,4
944,391,3
945,390,1
946,389,5
947,388,23
948,386,6
949,385,4
950,384,9
951,383,5
952,382,7
953,381,7
954,380,4
955,376,5
956,375,1
957,374,18
958,373,18
959,372,13
960,371,13
961,370,21
962,369,6
963,368,17
964,367,9
965,366,7
966,365,5
967,364,33
968,363,16
969,362,8
970,361,19
971,360,9
972,358,11
973,356,8
974,355,4
975,354,13
976,353,20
977,352,5
978,351,11
979,350,13
980,349,10
981,348,23
982,347,15
983,346,6
984,345,6
985,344,1
986,343,1
987,342,2
988,341,22
989,340,13
990,339,6
991,338,12
992,337,4
993,336,2
994,335,7
995,334,1
996,332,9
997,331,29
998,330,14
999,329,11
1000,328,18
1001,327,3
1002,326,6
1003,325,2
1004,324,3
1005,323,6
1006,322,14
1007,321,5
1008,320,11
1009,319,27
1010,318,6
1011,317,13
1012,316,13
1013,315,19
1014,314,24
1015,313,18
1016,312,9
1017,311,2
1018,310,4
1019,309,23
1020,308,2
1021,307,1
1022,306,5
1023,305,19
1024,303,2
1025,302,8
1026,301,9
1027,300,17
1028,299,22
1029,298,27
1030,297,18
1031,296,6
1032,295,10
1033,294,1
1034,293,1
1035,292,7
1036,291,3
1037,290,2
1038,289,4
1039,288,5
1040,287,5
1041,286,3
1042,285,2
1043,284,1
1044,283,5
1045,282,6
1046,281,11
1047,280,1
1048,279,3
1049,278,14
1050,277,4
1051,276,12
1052,275,10
1053,274,7
1054,273,13
1055,272,11
1056,270,23
1057,269,18
1058,268,21
1059,267,20
1060,266,4
1061,265,17
1062,263,5
1063,262,4
1064,261,13
1065,260,1
1066,259,5
1067,258,2
1068,257,6
1069,256,10
1070,253,7
1071,252,5
1072,251,3
1073,250,1
1074,249,3
1075,248,2
1076,246,3
1077,244,1
1078,242,1
1079,241,5
1080,240,9
1081,237,4
1082,236,3
1083,235,4
1084,234,5
1085,233,2
1086,231,2
1087,229,5
1088,228,14
1089,227,1
1090,226,1
1091,225,3
1092,224,2
1093,223,1
1094,222,19
1095,221,4
1096,219,13
1097,218,5
1098,217,12
1099,216,2
1100,215,3
1101,214,1
1102,213,2
1103,212,2
1104,211,2
1105,210,1
1106,209,10
1107,208,1
1108,207,1
1109,206,4
1110,205,12
1111,204,1
1112,203,16
1113,202,12
1114,201,5
1115,200,8
1116,199,19
1117,198,23
1118,197,14
1119,196,16
1120,195,1
1121,194,3
1122,193,18
1123,192,2
1124,191,22
1125,190,11
1126,186,1
1127,185,16
1128,184,9
1129,183,12
1130,182,1
1131,181,6
1132,179,7
1133,178,17
1134,177,9
1135,176,1
1136,175,4
1137,174,3
1138,173,15
1139,172,5
1140,169,29
1141,168,5
1142,166,21
1143,165,8
1144,164,23
1145,163,1
1146,162,2
1147,161,10
1148,160,5
1149,159,4
1150,157,1
1151,156,5
1152,155,7
1153,154,12
1154,153,10
1155,151,6
1156,150,4
1157,149,5
1158,148,16
1159,146,1
1160,144,1
1161,143,12
1162,141,4
1163,140,11
1164,139,2
1165,138,3
1166,137,20
1167,135,13
1168,134,6
1169,133,15
1170,132,16
1171,131,6
1172,130,10
1173,129,5
1174,128,2
1175,127,5
1176,124,1
1177,123,5
1178,122,1
1179,121,13
1180,118,9
1181,117,4
1182,116,2
1183,114,5
1184,113,3
1185,112,3
1186,111,2
1187,110,1
1188,108,4
1189,107,20
1190,106,7
1191,105,4
1192,104,23
1193,103,28
1194,102,4
1195,101,4
1196,100,5
1197,98,3
1198,97,5
1199,96,11
1200,95,2
1201,94,2
1202,93,6
1203,92,6
1204,91,6
1205,90,1
1206,89,6
1207,88,24
1208,87,5
1209,86,16
1210,85,9
1211,84,3
1212,83,10
1213,82,6
1214,81,2
1215,79,13
1216,78,20
1217,77,5
1218,74,15
1219,73,5
1220,72,3
1221,70,6
1222,69,1
1223,68,11
1224,67,3
1225,66,6
1226,65,10
1227,64,7
1228,63,6
1229,62,1
1230,61,3
1231,60,9
1232,59,6
1233,58,18
1234,57,2
1235,56,3
1236,55,3
1237,54,20
1238,53,2
1239,51,17
1240,50,10
1241,49,4
1242,48,24
1243,47,4
1244,45,1
1245,44,4
1246,43,13
1247,42,5
1248,41,3
1249,40,4
1250,39,3
1251,38,4
1252,37,8
1253,36,4
1254,35,3
1255,34,1
1256,32,5
1257,31,7
1258,30,2
1259,29,6
1260,28,12
1261,27,3
1262,26,2
1263,25,1
1264,24,1
1265,21,6
1266,20,15
1267,19,11
1268,18,1
1269,17,18
1270,15,1
1271,13,2
1272,12,15
1273,11,3
1274,9,12
1275,8,3
1276,7,13
1277,6,7
1278,3,5
1279,2,5
1280,1,4
