,E,N
330,750_538_369_608_1358_733_616_685_616_370_526_637_526_531_525_525_637_637_662_533_662_370_615_616_616_661_661_661_662_740_734_541_540_484_556_556_539_539_540_1363_526_370_637_528_757_531_734_733_539_1363_702_541_541_541_541_539_734_733_733_703_369_531_1363_701_1363_1363_369_662_608_645_608_644_703_757_637_637_527_527_532_532_487_637_370_371_637_530_530_530_530_370_662_616_532_662_757_702_702_703_703_757_757_757_370_616_616_535_370_528_487_533_370_530_530_531_526_370_371_526_525_525_370_370_531_527_531_616_616_527_532_685_661_662_525_525_637_527_528_608_530_742_606_606_742_606_606_606_538_483_483_484_484_606_606_606_606_606_606_606_606_742_606_556_484_606_606_750_606_701_1362_1363_1363_1363_701_1363_701_541_700_700_733_540_540_734_540_700_483_485_539_556_538_538_484_484_539_733_757_685_661_661_662_662_750_750_606_606_606_742_606_538_750_750_722_685_485_484_538_538_372_370_616_532_528_535_703_703_535_529_488_488_733_703_757_533_488_528_488_535_662_532_370_527_372_372_528_535_703_528_757_539_483_484_539_733_556_556_733_556_556_483_484_540_485_485_484_539_607_607_608_687_643_644_644_645_643_687_716_716_643_716_716_644_716_687_715_716_716_716_643_646_645_645_687_687_687_644_643_645_541_700_700_540_734_734_733_485_662_369_531_531_608_643_644_687_644_645_645_608_369_722_685_701_703_702_702_1363_1362_1363_1363_1363_700_701_702_701_1358_1363_1363_1363_1358_1363_1363_1365_1365_1365_1364_1365_1363_1365_1364_1363_700_701_701_1362_702_702_701_734_703_698_485_485_608_541_741_741_740_541_540_734_541_540_700_700_757_757_556_539_734_541_701_701_700_700_701_701_535_703_703_535_701_701_1362_1363_527_637_530_729_729_730_730_513_372_513_372_512_729_729_512_372_512_372_373_729_729_729_729_729_513_730_730_372_729_372_1276_1276_1276_1276_1276_374_372_372_730_730_729_372_513_372_372_513_372_372_372_729_730_513_730_372_512_374_729_730_729_372_373_1276_374_1276_374_372_371_616_531_616_488_757_369_608_608_685_722_750,1
331,750,3
332,75,1
333,749_748,4
334,749_604_604_749_604_361_655_749_604_749_604_604_604_602_602_602_684_655_655_361_632_632_655_603_749_604_653_604_604_604_604_749_604_603_602_602_684_602_684_604_604_749_604_749_604_604_604_604_467_604_604_749_749_632_655_361_655_361_361_360_361_361_360_684_632_632_655_749,1
335,749,2
336,748,1
337,747_447,1
338,747,2
339,744,5
340,743,4
341,742_742_606,1
342,742_606,1
343,742,4
344,741_740,2
345,741,3
346,739_483,2
347,739,1
348,738_738_625_665,1
349,738_738_502_738_665_501_502,1
350,738_738,2
351,738_737_738_348,1
352,738_737_737_665_738_502_348,1
353,738_665,1
354,738,2
355,737_348,1
356,737,4
357,736_617_617_735_617_617,1
358,735,3
359,734,1
360,732_287,1
361,732,9
362,731_610,2
363,731,4
364,730,3
365,729,2
366,728_728_640_728,1
367,728,1
368,727_494,1
369,727,6
370,726_756,1
371,726_493,4
372,725,7
373,724_723,1
374,723,1
375,722_722_722_685,1
376,722_722_722_538,1
377,722_722_538_685,1
378,722_722,1
379,722,2
380,721_720,1
381,721,2
382,720,2
383,719,3
384,716_716_643,1
385,716_716,1
386,716_643,1
387,716,5
388,715_643,1
389,715,2
390,714_702,1
391,712,1
392,711,1
393,710,4
394,70_69,2
395,708,4
396,707,2
397,705_705_704,1
398,705_704,1
399,705,4
400,704_641_611,1
401,704,1
402,703,3
403,702_703,1
404,702_702,1
405,702,1
406,700_541,1
407,700_540,1
408,700,1
409,70,4
