,ID,N
544,5196,0
545,5417,0
546,5197,0
547,5356,0
548,5357,0
549,5358,0
550,5873,0
551,5365,0
552,5364,0
553,5193,0
554,5871,0
555,5363,0
556,5872,0
557,5362,0
558,5361,0
559,5851,0
560,5946,0
561,5176,0
562,5360,0
563,5852,0
564,5416,0
565,5359,0
566,5194,0
567,5418,0
568,5347,0
569,5367,0
570,5883,0
571,5202,0
572,5850,0
573,5881,0
574,5337,0
575,5882,0
576,5944,0
577,5336,0
578,5335,0
579,5876,0
580,5334,0
581,5333,0
582,5332,0
583,5331,0
584,5330,0
585,5884,0
586,5329,0
587,5338,0
588,5945,0
589,5201,0
590,5200,0
591,5345,0
592,5344,0
593,5343,0
594,5198,0
595,5342,0
596,5173,0
597,5419,0
598,5877,0
599,5341,0
600,5199,0
601,5340,0
602,5878,0
603,5879,0
604,5339,0
605,5880,0
606,5366,0
607,5368,0
608,5949,0
609,5187,0
610,5859,0
611,5186,0
612,5855,0
613,5407,0
614,5395,0
615,5394,0
616,5860,0
617,5393,0
618,5415,0
619,5392,0
620,5391,0
621,5861,0
622,5862,0
623,5188,0
624,5863,0
625,5390,0
626,5185,0
627,5396,0
628,5397,0
629,5858,0
630,5404,0
631,5180,0
632,5181,0
633,5182,0
634,5406,0
635,5403,0
636,5948,0
637,5402,0
638,5401,0
639,5857,0
640,5183,0
641,5400,0
642,5184,0
643,5950,0
644,5398,0
645,5389,0
646,5388,0
647,5387,0
648,5177,0
649,5868,0
650,5377,0
651,5376,0
652,5410,0
653,5375,0
654,5374,0
655,5373,0
656,5869,0
657,5411,0
658,5412,0
659,5371,0
660,5370,0
661,5413,0
662,5369,0
663,5414,0
664,5203,0
665,5192,0
666,5854,0
667,5191,0
668,5864,0
669,5189,0
670,5190,0
671,5866,0
672,5408,0
673,5386,0
674,5409,0
675,5385,0
676,5384,0
677,5867,0
678,5382,0
679,5381,0
680,5380,0
681,5379,0
682,5178,0
683,5378,0
684,5238,0
685,5328,0
686,5263,0
687,5268,0
688,5913,0
689,5267,0
690,5266,0
691,5265,0
692,5264,0
693,5222,0
694,5223,0
695,5934,0
696,5270,0
697,5224,0
698,5225,0
699,5262,0
700,5261,0
701,5226,0
702,5914,0
703,5260,0
704,5259,0
705,5269,0
706,5271,0
707,5282,0
708,5276,0
709,5909,0
710,5280,0
711,5218,0
712,5936,0
713,5279,0
714,5278,0
715,5910,0
716,5277,0
717,5219,0
718,5935,0
719,5911,0
720,5275,0
721,5274,0
722,5220,0
723,5273,0
724,5221,0
725,5272,0
726,5912,0
727,5258,0
728,5915,0
729,5916,0
730,5234,0
731,5233,0
732,5924,0
733,5247,0
734,5925,0
735,5246,0
736,5926,0
737,5927,0
738,5244,0
739,5243,0
740,5917,0
741,5929,0
742,5242,0
743,5241,0
744,5930,0
745,5235,0
746,5931,0
747,5932,0
748,5236,0
749,5248,0
750,5249,0
751,5923,0
752,5250,0
753,5227,0
754,5918,0
755,5256,0
756,5255,0
757,5254,0
758,5228,0
759,5229,0
760,5919,0
761,5230,0
762,5933,0
763,5920,0
764,5921,0
765,5252,0
766,5231,0
767,5232,0
768,5251,0
769,5922,0
770,5281,0
771,5908,0
772,5204,0
773,5314,0
774,5892,0
775,5211,0
776,5318,0
777,5317,0
778,5316,0
779,5893,0
780,5894,0
781,5315,0
782,5895,0
783,5319,0
784,5313,0
785,5312,0
786,5311,0
787,5940,0
788,5939,0
789,5896,0
790,5310,0
791,5309,0
792,5941,0
793,5891,0
794,5283,0
795,5887,0
796,5205,0
797,5327,0
798,5206,0
799,5886,0
800,5326,0
801,5237,0
802,5943,0
803,5324,0
804,5323,0
805,5890,0
806,5208,0
807,5888,0
808,5322,0
809,5209,0
810,5321,0
811,5210,0
812,5942,0
813,5320,0
814,5308,0
815,5307,0
816,5212,0
817,5288,0
818,5295,0
819,5294,0
820,5293,0
821,5292,0
822,5291,0
823,5904,0
824,5290,0
825,5289,0
826,5287,0
827,5306,0
828,5905,0
829,5217,0
830,5286,0
831,5906,0
832,5285,0
833,5907,0
834,5284,0
835,5937,0
836,5903,0
837,5296,0
838,5902,0
839,5901,0
840,5305,0
841,5213,0
842,5214,0
843,5215,0
844,5897,0
845,5304,0
846,5303,0
847,5898,0
848,5302,0
849,5216,0
850,5301,0
851,5420,0
852,5899,0
853,5300,0
854,5299,0
855,5298,0
856,5900,0
857,5325,0
858,5717,0
859,5849,0
860,5753,0
861,5618,0
862,5617,0
863,5749,0
864,5750,0
865,5616,0
866,5615,0
867,5751,0
868,5614,0
869,5752,0
870,5613,0
871,5612,0
872,5756,0
873,5611,0
874,5610,0
875,5609,0
876,5608,0
877,5755,0
878,5607,0
879,5606,0
880,5605,0
881,5604,0
882,5603,0
883,5619,0
884,5748,0
885,5620,0
886,5621,0
887,5742,0
888,5636,0
889,5743,0
890,5635,0
891,5744,0
892,5745,0
893,5634,0
894,5633,0
895,5632,0
896,5631,0
897,5630,0
898,5746,0
899,5629,0
900,5628,0
901,5627,0
902,5747,0
903,5626,0
904,5625,0
905,5624,0
906,5623,0
907,5622,0
908,5602,0
909,5601,0
910,5638,0
911,5575,0
912,5582,0
913,5581,0
914,5580,0
915,5579,0
916,5578,0
917,5768,0
918,5769,0
919,5770,0
920,5576,0
921,5771,0
922,5772,0
923,5757,0
924,5574,0
925,5573,0
926,5572,0
927,5773,0
928,5571,0
