,F,P
118,3.255318618325728,-2.534096893978772
119,3.25043708553852,-2.5257286443082556
120,3.2278777902552895,-2.5174298414935605
121,3.224847428630857,-2.509199342357045
122,3.212519209748023,-2.501036031717884
123,3.1940225984947364,-2.4929388214852644
124,3.1918945808840755,-2.4849066497880004
125,3.1874964489065456,-2.4769384801388235
126,3.181587953904013,-2.4690333006317102
127,3.1597421734811095,-2.461190123170684
128,3.1596471257773273,-2.4534079827286295
129,3.153500704036585,-2.445685936634719
130,3.1456288435130446,-2.43802306388915
131,3.1442808377165257,-2.430418464503931
132,3.1197541582238624,-2.4228712588685477
133,3.1034739552676665,-2.41538058713939
134,3.1031492408561627,-2.4079456086518722
135,3.1019346282769638,-2.4005655013542495
136,3.1006257761253835,-2.3932394612621763
137,3.0950997319017666,-2.385966701933097
138,3.0826310607377865,-2.37874645395961
139,3.07878244843547,-2.371577964480997
140,3.0713788839415432,-2.364460496712133
141,3.065010147607683,-2.3573933294890406
142,3.063733881743573,-2.350375756830394
143,3.0626516604734855,-2.3434070875143007
144,3.0589980753377923,-2.336486644669727
145,3.0533912022969387,-2.329613765381965
146,3.048983195643864,-2.322787800311565
147,3.0319373173029343,-2.3160081133261863
148,3.0193442009491434,-2.3092740811448422
149,3.0190604621878556,-2.3025850929940455
150,3.016191379107604,-2.295940550275377
151,3.0114416241525395,-2.289339866244025
152,3.0092688923151907,-2.282782465697866
153,3.0060548770264415,-2.2762677846766723
154,2.997035009173343,-2.2697952701710546
155,2.9934033060154563,-2.2633643798407643
156,2.988096948453888,-2.2569745817419933
157,2.9873777773895656,-2.2506253540633345
158,2.9872787027363312,-2.24431618487007
159,2.9795634868676553,-2.2380465718564744
160,2.9790801425039577,-2.2318160221058383
161,2.978198494993511,-2.2256240518579173
162,2.9735623263625217,-2.219470186283539
163,2.950100040163057,-2.213353959266103
164,2.938696829788088,-2.2072749131897207
165,2.9364540348619155,-2.201232598733758
166,2.9324261107328553,-2.1952265746735464
167,2.9317061027316957,-2.1892564076870427
168,2.9145388783155606,-2.183321672167228
169,2.9036556261107758,-2.17742195004004
170,2.899116502553459,-2.1715568305876416
171,2.8893785432056007,-2.1657259102768482
172,2.8848973134784774,-2.1599287925925226
173,2.865288498082076,-2.1541650878757723
174,2.8559973218348484,-2.1484344131667874
175,2.8546364034643936,-2.1427363920521496
176,2.853902538204234,-2.137070654516472
177,2.853794055546693,-2.1314368367982164
178,2.8422006134529276,-2.1258345812495465
179,2.835213751495424,-2.120263536200091
180,2.8285759753646245,-2.114723355824476
181,2.8284898179067235,-2.1092137000135063
182,2.8253237971344656,-2.1037342342488805
183,2.8233356271850654,-2.098284629481316
184,2.815649411998513,-2.0928645620119766
185,2.8136931924782975,-2.0874737133771
186,2.808713850090947,-2.082111770235715
187,2.802424660994565,-2.076778424260352
188,2.796752753685446,-2.071473372030659
189,2.7816158707039405,-2.0661963149298153
190,2.7794790436124117,-2.0609469590436715
191,2.7745163339673136,-2.05572501506252
192,2.771041018762669,-2.050530198185416
193,2.7674440360966015,-2.045362228026973
194,2.75128354473355,-2.0402208285265546
195,2.737760501554816,-2.035105727859784
196,2.737425545769283,-2.030016658352313
197,2.737027156750852,-2.0249533563957662
198,2.732279914690577,-2.019915562365809
199,2.7321583877148616,-2.0149030205422647
200,2.732025006630083,-2.0099154790312257
201,2.727791328580982,-2.004952689689097
202,2.7271524456068357,-2.0000144080485143
203,2.718942328297681,-1.995100393246085
204,2.712818036857404,-1.9902104079518934
205,2.7103443908521494,-1.9853442183007204
206,2.7062838207482907,-1.9805015938249322
207,2.7059142553428708,-1.9756823073889835
208,2.703022347038785,-1.9708861351254905
209,2.700809622330152,-1.9661128563728327
210,2.699505925424968,-1.961362253614235
211,2.694533307815123,-1.9566341124182889
212,2.68934474835021,-1.9519282213808764
213,2.6815461786951267,-1.94724437206845
214,2.675299658437132,-1.9425823589626385
215,2.6734135475319776,-1.9379419794061366
216,2.6711200258293886,-1.933323033549842
217,2.6657085363297326,-1.9287253243012124
218,2.6563598841671796,-1.9241486572738007
219,2.6552324997086485,-1.91959284073794
220,2.6528015977463384,-1.9150576855725485
221,2.6514422645354063,-1.9105430052180221
222,2.65111851593741,-1.9060486156301826
223,2.6428766456932298,-1.9015743352352614
224,2.6420408742198225,-1.8971199848858813
225,2.6348238371559747,-1.8926853878180154
226,2.6301332329584937,-1.888270369608899
227,2.6277266584437085,-1.8838747581358606
228,2.615694729346826,-1.8794983835360617
229,2.6126237694902326,-1.875141078167106
230,2.6051008223050527,-1.870802676568508
231,2.603113821808815,-1.8664830154239915
232,2.60264443473825,-1.862181933524601
233,2.5990894724645823,-1.8578992717326
234,2.585809009917373,-1.8536348729461425
235,2.5841729000082214,-1.8493885820646914
236,2.582074919006554,-1.8451602459551701
237,2.574179613853773,-1.8409497134188266
