,ID,N
206,296,12.645104673163232
207,1798,12.603020720393518
208,309,12.499901920712079
209,502,12.489680911564005
210,2429,12.448453872608116
211,342,12.423026647624917
212,1020,12.370672083004632
213,612,12.36705733347423
214,1319,12.163388579128345
215,829,12.051055821075124
216,672,12.001171968865261
217,1765,11.826606690401865
218,1154,11.823496428214005
219,1094,11.801890526923794
220,1654,11.730384073632417
221,1377,11.696901236799887
222,1730,11.567817759514998
223,206,11.515186420495489
224,477,11.469903073824952
225,1877,11.42749614353804
226,1586,11.407260017027943
227,827,11.390015373349486
228,1482,11.322034370414627
229,579,11.269387056568979
230,1789,11.239965410931472
231,1339,11.2393492573194
232,2400,11.219879762366773
233,873,11.183157007248713
234,493,11.181704804529426
235,147,11.092889753072413
236,830,10.953937492672129
237,188,10.883807417791855
238,2067,10.864624150868666
239,32,10.858621020649586
240,2267,10.845032605953362
241,1653,10.781316208944435
242,2337,10.78034637744804
243,975,10.730884425832619
244,1039,10.658704995014364
245,494,10.649332893490884
246,1047,10.616483202068682
247,1168,10.364217556490761
248,907,10.354108451071482
249,42,10.308437962082566
250,2368,10.247798654829401
251,2120,10.23399204145121
252,716,10.099095289465751
253,1737,10.03418194310548
254,223,9.972065689172585
255,1374,9.950231667835446
256,520,9.868560016887947
257,175,9.855399415175839
258,1092,9.759213000991345
259,576,9.7403131069454
260,690,9.717570914807109
261,778,9.700866315123488
262,2181,9.67759293361085
263,1741,9.641652031703796
264,1343,9.564794012841789
265,2019,9.524486667399303
266,30,9.521368201638234
267,2403,9.438955478783742
268,28,9.429257373650282
269,370,9.404171307999873
270,1062,9.315543739255741
271,1149,9.27444078505119
272,764,9.272976993764821
273,994,9.27171300498331
274,243,9.267329725020462
275,1695,9.207822903557613
276,2130,9.196410948276213
277,1628,9.1961331449834
278,1288,9.104539968186232
279,589,9.075426119103097
280,2258,9.03234650111883
281,2444,9.0131007301129
282,867,8.942207538438623
283,1581,8.902682987102924
284,624,8.877720112652828
285,322,8.87767108894391
286,377,8.842991995302626
287,2178,8.819170623068658
288,761,8.780045882021895
289,1395,8.742310653208127
290,2398,8.724754357500116
291,2113,8.71896883795159
292,2104,8.708266304896728
293,2119,8.680775416076877
294,485,8.635041233424738
295,618,8.482726084792134
296,2388,8.40352293753314
297,1499,8.349355094597161
298,392,8.330178155620953
299,451,8.289974188536103
300,1697,8.271412985867457
301,1349,8.271003217763827
302,733,8.267726912006257
303,2418,8.249314780190177
304,2317,8.243506440409233
305,1746,8.234383771115423
306,769,8.22049646822745
307,1650,8.217486565008333
308,2004,8.133906110811768
309,1796,7.985144983977036
310,304,7.960087982290553
311,2042,7.8736080951434015
312,916,7.858283063904857
313,2428,7.857569683064309
314,1262,7.833302524297018
315,300,7.81988673960901
316,1849,7.8160589616989435
317,2441,7.806127847315701
318,1328,7.772304626211376
319,843,7.732930235743046
320,877,7.6946716688978
321,899,7.681381490344346
322,1078,7.651529787287563
323,898,7.64039587090026
324,2183,7.638545407195863
325,433,7.569363828559029
326,1115,7.530200566570415
327,1350,7.5065475480627715
328,2165,7.494526320526113
329,2475,7.441589347912752
330,1595,7.427590969715876
331,734,7.4125334132047875
332,2182,7.395064321204382
333,2281,7.388085995989077
334,931,7.298231845220293
335,2088,7.230784768095293
336,533,7.1500321879797335
337,846,7.0835891777482685
338,775,7.02835398679783
339,1875,7.004335558657786
340,661,6.978638709290605
341,1495,6.94348836456097
342,2199,6.892429386111379
343,1900,6.867395621721294
344,573,6.834692456893061
345,2157,6.833945530992201
346,1125,6.824085050912066
347,1242,6.77666464538898
348,937,6.732451917146397
349,2272,6.693205662990887
350,1014,6.68753532788631
351,1296,6.669500608980328
352,231,6.63406905270926
353,2458,6.625928920576097
354,724,6.615331304007334
355,2463,6.541626604021458
356,452,6.533531241353254
357,1620,6.532642392606114
358,344,6.449313107687809
359,33,6.4215497186874515
360,1476,6.409985839748467
361,2190,6.403740148189157
362,1920,6.381562138925594
363,1979,6.3087472825802635
364,2209,6.306706293137974
365,651,6.304773984193935
366,1966,6.274814876669867
367,294,6.257179257615423
368,2202,6.243558818694117
369,1497,6.229225443558882
370,1229,6.2173507472151215
371,2107,6.201723802862321
372,1353,6.192440167084292
373,251,6.1888685486739545
374,1728,6.114611577455509
375,1782,6.110162845449599
376,2015,6.073681990470195
377,1408,5.98975257352248
378,224,5.932135099516804
379,1009,5.914585406142015
380,704,5.889811679393849
381,2352,5.8670158870564215
382,248,5.860982668858241
383,1833,5.855891822957089
384,1119,5.779649872539359
385,290,5.7737140210687
386,924,5.729871153583226
387,1435,5.728845337748654
388,1248,5.711028808603212
389,1706,5.68988755961999
390,1250,5.68481212956618
391,1059,5.682630726581731
392,897,5.664108086229154
393,1543,5.647100320343128
394,234,5.630371194246795
395,1165,5.626365427502387
396,818,5.624620505936134
397,795,5.612032949558921
398,1898,5.608899031589259
399,1246,5.60855564029686
400,444,5.589137077768208
401,1104,5.579611076336579
402,862,5.579082063926991
403,1071,5.573338020409387
404,2293,5.513184789829746
405,1221,5.49053591830778
406,983,5.458829967782441
407,1148,5.431071578836457
408,1193,5.416512062213829
409,2065,5.409969743829178
410,2385,5.385770624077585
411,1200,5.357732611326366
412,2430,5.305215527597431
413,1340,5.291977431957839
414,1480,5.282811989523062
415,1196,5.277128994104959
416,2356,5.2733511988858535
417,1612,5.26812087259119
418,951,5.2386049109698645
419,1998,5.2348572085835
420,236,5.232398462766621
421,1332,5.227054284729669
422,1118,5.149949705552345
423,387,5.144755028119058
424,233,5.134959453186784
425,1093,5.128647658814711
